Facility ID,Storage Location ID,Description
a7b04735-0df5-4b33-b7f3-42c0bc576601,482ccba9-247a-420a-bdb6-a139b1e502fb,Drums and dispenser along North East Wall
a7b04735-0df5-4b33-b7f3-42c0bc576601,b39cbcb3-5ba5-432e-8cc7-00180477145c,East wall of the Service department
a7b04735-0df5-4b33-b7f3-42c0bc576601,7e0a1f3b-ccef-43a6-accc-671adac56a5d,Service Department along North Wall
a7b04735-0df5-4b33-b7f3-42c0bc576601,1a3e990e-74b1-4cde-a620-41a824cee15e,Along North wall of Service Department
a7b04735-0df5-4b33-b7f3-42c0bc576601,ebbd745d-bfa0-4c4e-a43a-6a748bfb34cb,Along center wall of Service department
a7b04735-0df5-4b33-b7f3-42c0bc576601,dd00a8e5-b8c6-4e8e-8a69-a3cb673dc1d8,Along center wall of North Service department
a7b04735-0df5-4b33-b7f3-42c0bc576601,fd392fa6-46ad-40af-af43-3769e0d44468,Along the center wall of North service department
a7b04735-0df5-4b33-b7f3-42c0bc576601,fc8aaed2-b2d9-45e5-9247-3a1905983c84,"Bulk Oil storage mezzanine on South wall of North Service Building "
a7b04735-0df5-4b33-b7f3-42c0bc576601,226e73a5-2a6f-47f2-bc78-2fd053006e01,"Bulk Oil storage mezzanine on South wall of North Service Building "
a7b04735-0df5-4b33-b7f3-42c0bc576601,50b82963-776e-463d-bf10-176e34d4edc6,"Bulk Oil storage mezzanine on South wall of North Service Building "
a7b04735-0df5-4b33-b7f3-42c0bc576601,87ae7e34-cf5e-4610-8741-2816f1099f91,"Bulk Oil storage mezzanine on South wall of North Service Building "
a7b04735-0df5-4b33-b7f3-42c0bc576601,4134538d-e4f3-4f8c-a00a-7eda7b4fb1f2,"Bulk Oil storage mezzanine on South wall of North Service Building "
a7b04735-0df5-4b33-b7f3-42c0bc576601,6bf48d2b-23bf-4868-be7d-ebb2c1d11a16,Along center wall of Service department
a7b04735-0df5-4b33-b7f3-42c0bc576601,33990ec8-7336-45f0-b5bd-9bde3f8c6631,"Bulk Oil storage mezzanine on South wall of North Service Building "
a7b04735-0df5-4b33-b7f3-42c0bc576601,28a61f49-91d3-40a6-a006-94b03548fc5b,Along North wall of service department
3b95917c-3528-4837-9934-6471b51dbe4c,4f5f5010-e8a2-4ae1-b497-c7e918b91990,Along East wall of service shop
3b95917c-3528-4837-9934-6471b51dbe4c,f410737d-a0d0-412f-b761-3560ddc7b653,North West corner of service shop in welding caddy.
3b95917c-3528-4837-9934-6471b51dbe4c,34227d65-6c0e-4835-96c9-9120470cec56,On south east wall of the service shop.
3b95917c-3528-4837-9934-6471b51dbe4c,7968e245-e97b-43c0-a321-3548575dcd17,Along east wall of service shop
3b95917c-3528-4837-9934-6471b51dbe4c,c0df7655-b9d4-4a86-8232-f230c8c4da77,Along east wall of service shop
3b95917c-3528-4837-9934-6471b51dbe4c,05a091f1-1089-4a31-ac82-23ca2881f893,On the south wall of the service shop near the roll-up door.
3b95917c-3528-4837-9934-6471b51dbe4c,25f2a41b-b669-4d30-aa7e-b66775fb1d1f,Above ground storage tank on east wall of service shop.
3b95917c-3528-4837-9934-6471b51dbe4c,2a5d19a6-8ae3-4d83-9921-d670367bbd03,East wall of the service shop
3b95917c-3528-4837-9934-6471b51dbe4c,62f4ace0-523b-4444-868a-896b8743c14d,In North West corner of the service shop.  on welding caddy.
